Timestamp,Cell,SHIP_TYPE=35,Value,SHIP_TYPE=60-69,Value,SHIP_TYPE=70-79,Value,SHIP_TYPE=others,Value
2015/03/10,D1,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.89285713
2015/03/10,C1,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.035714287
2015/03/10,D2,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.071428575
2015/04/07,D1,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.75,SHIP_TYPE=others,2.392857
2015/04/07,D2,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.85714287,SHIP_TYPE=others,1.5357143
2015/04/07,D3,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.60714287,SHIP_TYPE=others,0.85714287
2015/04/07,D5,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.5,SHIP_TYPE=others,0.60714287
2015/04/07,G10,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.17857143,SHIP_TYPE=70-79,0.25,SHIP_TYPE=others,0.2857143
2015/04/07,D17,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.10714286,SHIP_TYPE=70-79,0.64285713,SHIP_TYPE=others,0.53571427
2015/04/07,D10,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.035714287,SHIP_TYPE=others,0.071428575
2015/04/07,G17,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.4642857,SHIP_TYPE=others,0.0
2015/04/07,C17,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.14285715
2015/04/07,G16,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.25,SHIP_TYPE=others,0.035714287
2015/04/07,J13,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.14285715,SHIP_TYPE=70-79,0.10714286,SHIP_TYPE=others,0.53571427
2015/04/07,F13,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.4642857,SHIP_TYPE=others,0.2857143
2015/04/07,B17,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.21428572
2015/04/07,I14,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.14285715,SHIP_TYPE=70-79,0.53571427,SHIP_TYPE=others,0.35714287
2015/04/07,D11,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.2857143,SHIP_TYPE=others,0.0
2015/04/07,G11,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.071428575,SHIP_TYPE=70-79,0.17857143,SHIP_TYPE=others,0.21428572
2015/04/07,F17,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.14285715,SHIP_TYPE=others,0.071428575
2015/04/07,H17,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.35714287,SHIP_TYPE=others,0.17857143
2015/04/07,E5,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.10714286,SHIP_TYPE=70-79,0.39285713,SHIP_TYPE=others,0.89285713
2015/04/07,F10,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.25,SHIP_TYPE=70-79,0.42857143,SHIP_TYPE=others,0.25
2015/04/07,A17,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.035714287
2015/04/07,E9,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,0.035714287,SHIP_TYPE=others,0.071428575
2015/04/07,G6,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.071428575,SHIP_TYPE=70-79,0.32142857,SHIP_TYPE=others,0.035714287
2015/04/07,I16,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.035714287,SHIP_TYPE=70-79,1.3571428,SHIP_TYPE=others,0.5
2015/04/07,I9,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.035714287
2015/04/07,D13,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.0,SHIP_TYPE=70-79,0.0,SHIP_TYPE=others,0.071428575
2015/04/07,F9,SHIP_TYPE=35,0.0,SHIP_TYPE=60-69,0.9285714,SHIP_TYPE=70-79,0.5714286,SHIP_TYPE=others,4.142857
